,Name,Question,Answer
19,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"Good afternoon, shipping to 89254550 is free? I want 500 pcs. Is it the same for rectangular and round ones? Thank you and I look forward to returning","Good afternoon, you can add to the cart that the system automatically calculates. The value is based on the weight of the products, the value goes up according to the weight you choose. Att 15/09/2020"
20,Dove White Bar Soap 90 Gr 6 Units,,
21,Dove White Bar Soap 90 Gr 6 Units,,
22,Dove White Bar Soap 90 Gr 6 Units,,
23,Dove White Bar Soap 90 Gr 6 Units,"Hello, you only sell the quantity of 6 units?","Hello GUI-MARCON, how are you? Yes, there are 6 units in this pack. Great and cheap isn't it? We are at your disposal and look forward to your purchase.03 / 09/2020"
24,Dove White Bar Soap 90 Gr 6 Units,has freight,"Hello, CASIMIRO56! You can calculate the shipping cost and estimated delivery time on the ad page by entering the zip code under ""Calculate delivery time"", which is next to the buy button."
25,Dove White Bar Soap 90 Gr 6 Units,Good afternoon. Is that price for 1 soap or 6 soaps?,Hello BAAN5403688 Good Afternoon This delicious soap comes with 6 units. We look forward to your purchase
26,Dove White Bar Soap 90 Gr 6 Units,If they do not work with unattacked products,"Good night, how are you? No, we do not work with wholesale products = / Any questions we are available! 06/08/2020"
27,Dove White Bar Soap 90 Gr 6 Units,Ta tein other products,"Hello GUNA6421341, how are you? We were unable to understand your question very well. Can you give us more details? 06/08/2020"
28,Dove White Bar Soap 90 Gr 6 Units,Good afternoon does wholesale price thank you,"Hello, GUNA6421341! At the moment we are unable to offer greater discounts, even when buying in large quantities. The value that is in the ad is the lowest we can offer today, but you can buy with confidence, our products are of great quality, have a guarantee and follow the invoice.06 / 08/2020"
29,Dove White Bar Soap 90 Gr 6 Units,"I know that maybe it’s a silly question, but whatever it is, it’s good for women and men and the elderly isn’t it?","Hello MARCOS FABRÍCIO, how are you? Yes, it has no restrictions. Excellent quality product, worth buying. We look forward to your purchase, we are available! = D06 / 08/2020"
30,Dove Original Soap Kit with 12 Units of 90g,MAGALU PRICE IS R $ 25.50 for 12 units,Hello Dear Customer! How can we help?
31,Dove Original Soap Kit with 12 Units of 90g,Thank you for your attention.,Hello Dear Customer! We thank you15 / 09/2020
32,Dove Original Soap Kit with 12 Units of 90g,good afternoon. I would like to know if this one month warranty description is for all the soaps. please.,Hello Dear Customer! Exchange guarantee if all items are not used14 / 09/2020
33,Dove Original Soap Kit with 12 Units of 90g,If I buy 3 kits is shipping free?,Hello Dear Customer! We currently have no free shipping on this item01 / 09/2020
34,Dove Original Soap Kit with 12 Units of 90g,My order with you said it will arrive tomorrow,"Hello Dear Customer! Yes, thank you for your purchase or quotation ... Soon we will answer all your questions.26 / 06/2020"
35,Dove Original Soap Kit with 12 Units of 90g,I already bought,Hello Dear Customer! Thank you for your purchase Thank you for your purchase or quote ... Soon we will answer all your questions.26 / 06/2020
36,Dove Original Soap Kit with 12 Units of 90g,Ready to deliver?,"Hello Dear Customer! Yes, we have in stock the prompt delivery. Thank you for your purchase or quotation ... Soon we will answer all your questions.26 / 06/2020"
37,Dove Original Soap Kit with 12 Units of 90g,"Good night. Please, what is the validity of the soaps?","Hello Dear Customer! Current validity for 1 year, Any questions are available10 / 06/2020"
38,Dove Original Soap Kit with 12 Units of 90g,"HELLO, I AM INTERESTED IN BUYING DOVE SOAP AND AEROSOL DOVE DEODORANT, BOTH ORIGINAL, YOU WOULD HAVE TO DO FREE SHIPPING AND INSTALLMENT WITHOUT INTEREST. IF IT CAN BE BUY IN HIGHER QUANTITY. MY ZIP CODE IS 98950-000. THANKS. WAIT.","Hello Dear Customer! At the moment the offered condition is the best available, so we do not add free shipping or more discounts Thank you for your purchase or quote ... Soon we will answer all your questions.15 / 04/2020"
39,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,"Hello good afternoon!!! I'm looking to buy the soaps but I would need the invoice to be sent, do you send the invoice ???","Good Morning! We do issue NFs, but the issue is automatic, we need data to be entered into the system before purchase. We are available 24/7"
40,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,Would you have 200 soaps?,https://produto.mercadolivre.com.br/MLB-1143291433-kit-200-mini-sabonete-20-gr-luxo-pitanga-hotel-pousada-_JM30/09/2020
41,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,I would like to buy the same amount of shampoo and soap. 200 of each.,We have a kit with 200 soaps of 20 grams in the Pitanga fragrance. We will be glad to help you.
42,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,good night? do you also have shampoo? I need 200 of each.,"Good night! Yes, we do, follow the link: https://produto.mercadolivre.com.br/MLB-1146737454-kit-200-shampoo-condicionador-2-em-1-sach-30-ml-hotel-motel-_JM30/09 / 2020"
43,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,"good night, do you send by mail or carrier?","Good night, shipping is done by carrier, we follow the disposition! 16/09/2020"
44,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,put the art of my hostel?,Good night! We only work with standardized packaging. We will be at your disposal 12/09/2020
45,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,Would you like to know sine soap has neutral Ph?,"Good Morning! It does have a neutral Ph, but it has fragrance. We will be glad to help you."
46,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,100 units,"Hello, follow the link of chestnut to: https://produto.mercadolivre.com.br/MLB-1302497457-kit-100-sabonete-20-gr-hidrizante-luxo-hotel-pousada-airbnb-castanha-do- for -_JM06 / 09/2020"
47,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,have less,"Hello, we have other fragrances, pitanga and Castanha do Para. How many do you need?"
48,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,Good afternoon. Does the product come by carrier?,"Hello, how are you? Yes, the order is sent by carrier, we will dispatch it today. 09/09/2020"
49,Dove White Bar Soap 90 Gr 8 Units,"OK, you are welcome","You're welcome LEAN7286708! We are waiting for your purchases, follow the link of our official store: https://loja.mercadolivre.com.br/mercado-livre Any doubts are available! = D26 / 09/2020"
50,Dove White Bar Soap 90 Gr 8 Units,Good afternoon this price is right 999 reais,"Hello LEAN7286708, how are you? Thank you for punctuating this divergence in the ad, the price is really incorrect! We will work as quickly as possible to correct the ad! Soon you will see the product at the right price and you will be able to buy it! We are always available! 26/09/2020"
51,Dove White Bar Soap 90 Gr 8 Units,The ad is priced at 999 reais (nine hundred and ninety-nine) I don't know if you think it's 9.99 .... I believe someone must have already alerted you,"Hello NATALIACARMONABORELLI, how are you? We are already updating this product :) See you soon, we await your purchase and we are available.26 / 09/2020"
52,Dove White Bar Soap 90 Gr 8 Units,8 soaps 999 reais?,"Hello NATALIACARMONABORELLI, how are you? We were unable to understand your question very well. Can you give us more details? 26/09/2020"
53,Dove White Bar Soap 90 Gr 8 Units,good night ... is that price right?,"Good NATALIACARMONABORELLI night all right? The value in the ad is the lowest we can offer today, but you can buy with confidence, our products are of excellent quality, have a guarantee and accompany the invoice. Always count on us and good shopping! : D25 / 09/2020"
54,Dove White Bar Soap 90 Gr 8 Units,Good afternoon! What a crazy price is this 999.00 for 8 kkkkkkk soaps with this price it is better to go to the supermarket near home kkkkk.,"Hello ROSESMT62, how are you? Thank you for reporting the error, we will correct it, but we have others, follow the link: https://lista.mercadolivre.com.br/sabonete_Loja_mercado-livre#D[A:sabonete,on] Excellent quality products, worth buying . We look forward to your purchase, we are available! = D25 / 09/2020"
55,Dove White Bar Soap 90 Gr 8 Units,this price is correct,"Good morning ROBERTORODRIGUESCOSTABETO, how are you? Thank you for contacting us, we will arrange the value of the ad. We look forward to your purchase We are at your disposal.25 / 09/2020"
56,Dove White Bar Soap 90 Gr 8 Units,okay this price 999.90,"Hello JOANA CARVALHO1979, how are you? No. It is not correct. We appreciate the feedback and have already taken it to the responsible sector to adjust it as soon as possible! Happy shopping! 24/09/2020"
57,Dove White Bar Soap 90 Gr 8 Units,1000 reais in 8 units?,"Hello LAURENTINOMI, how are you? Thank you for contacting us, we will forward it to the responsible sector to find out! Doubts we are available! :) 09/24/2020"
58,Dove White Bar Soap 90 Gr 8 Units,So I would pay around R $ 124.00 for each soap?,"Hello FERNANDESDEOLIVEIRAGUILHERM, how are you? We were unable to understand your question very well. Can you give us more details? 24/09/2020"
59,Dove White Bar Soap 90 Gr 8 Units,Ok de nada,"Por nada LEAN7286708! Aguardamos as suas compras, segue o link da nossa loja oficial: https://loja.mercadolivre.com.br/mercado-livre Qualquer dúvid66a ficamos à disposição! = D26/09/2020"
60,Dove White Bar Soap 90 Gr 8 Units,Good afternoon this price is right 999 reais,"Hello LEAN7286708, how are you? Thank you for punctuating this divergence in the ad, the price is really incorrect! We will work as quickly as possible to correct the ad! Soon you will see the product at the right price and you will be able to buy it! We are always available! 26/09/2020"
61,Dove White Bar Soap 90 Gr 8 Units,The ad is priced at 999 reais (nine hundred and ninety-nine) I don't know if you think it's 9.99 .... I believe someone must have already alerted you,"Hello NATALIACARMONABORELLI, how are you? We are already updating this product :) See you soon, we await your purchase and we are available.26 / 09/2020"
62,Dove White Bar Soap 90 Gr 8 Units,8 soaps 999 reais?,"Hello NATALIACARMONABORELLI, how are you? We were unable to understand your question very well. Can you give us more details? 26/09/2020"
63,Dove White Bar Soap 90 Gr 8 Units,good night ... is that price right?,"Good NATALIACARMONABORELLI night all right? The value in the ad is the lowest we can offer today, but you can buy with confidence, our products are of excellent quality, have a guarantee and accompany the invoice. Always count on us and good shopping! : D25 / 09/2020"
64,Dove White Bar Soap 90 Gr 8 Units,Good afternoon! What a crazy price is this 999.00 for 8 kkkkkkk soaps with this price it is better to go to the supermarket near home kkkkk.,"Hello ROSESMT62, how are you? Thank you for reporting the error, we will correct it, but we have others, follow the link: https://lista.mercadolivre.com.br/sabonete_Loja_mercado-livre#D[A:sabonete,on] Excellent quality products, worth buying . We look forward to your purchase, we are available! = D25 / 09/2020"
65,Dove White Bar Soap 90 Gr 8 Units,este preço está correto,"Bom dia ROBERTORODRIGUESCOSTABETO, tudo bem? Obrigada por nos contatar, iremos arrumar o valor do anuncio. Aguardamos a sua compra Estamos à disposição.25/09/2020"
66,Dove White Bar Soap 90 Gr 8 Units,okay this price 999.90,"Hello JOANA CARVALHO1979, how are you? No. It is not correct. We appreciate the feedback and have already taken it to the responsible sector to adjust it as soon as possible! Happy shopping! 24/09/2020"
67,Dove White Bar Soap 90 Gr 8 Units,1000 reais in 8 units?,"Olá LAURENTINOMI, tudo bem? Obrigado por nos contatar, iremos encaminhar para o setor responsável averiguar! Dúvidas estamos a disposição! :)24/09/2020"
68,Dove White Bar Soap 90 Gr 8 Units,"Então eu pagaria em torno de R$ 124,00 por cada sabonete?","Hello FERNANDESDEOLIVEIRAGUILHERM, how are you? We were unable to understand your question very well. Can you give us more details? 24/09/2020"
69,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,"hi, do you have bath mousse? for bathtub?","Olá, tudo bem? Infelizmente não temos. Seguimos à disposição!30/09/2020"
70,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,coloca meu logo?,"Olá, tudo bem? Trabalhamos somente com embalagens padronizadas. Seguimos à disposição!29/09/2020"
71,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,Can you make half 250 units? I would like to know the product before requesting a larger volume,"Olá, nesta fragrancia somente a partir dessa quantia, noutras fragrâncias temos com quantidade menor. Att,29/09/2020"
72,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,São personalizados?,"Hello, we do not customize, but we have other options."
73,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,do you have any product that can be customized with my logo?,"Boa noite, infelizmente não personalizamos.17/09/2020"
74,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,what is the value of a kit like this with 200 items including toothpaste and brush?,"Olá, este kit somente a partir de 500 unidades, com a escova+creme o valor fica em 475 reais, se desejar entre em contato que envio o link com o kit completo. Seguimos a disposição!17/09/2020"
75,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,qual é a forma de entrega ?? é via correio ?? CEP 37615-000 ??,"Bom dia, a entrega é realizada por transportadora. Seguimos a disposição!14/09/2020"
76,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,Este kit é para qualquer fragrância? Tb para o shampoo e sabonete de erva doce?,"Good afternoon! This kit is with floral fragrance, but we have another link with the fennel. Follow the link: https://produto.mercadolivre.com.br/MLB-1148396654-kit-500-sabonetes-13-gr-e-200-shampoo-2-em-1-hotel-erva-doce-_JM23/ 08/2020"
77,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,do you issue invoices to PJ ??,"Good afternoon! Yes, we do, but I need the purchase to be made with the PJ data registered on the site, as the issue is automatic. We are available 24/7"
78,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,Ou teria como dividir sem juros?,"Olá, poderá dividir este valor, mas incide juros.21/08/2020"
79,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,Good afternoon ?? Does this treatment serve for recurrent candidiasis ??,"Hello, yes, we are waiting for your purchase!"
80,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,consegue fazer um anúncio com um item de cada?,Hello follows ad https://produto.mercadolivre.com.br/MLB-934052165-barbatimo-babatimo-100-capsulas-pomada-sabonete-hpv-acne-_JM28/09/2020
81,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,Só tem uma opção para a proxima segunda ainda.,"Olá, esse é o melhor prazo para sua região pelo Mercado Envios.28/09/2020"
82,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,Tem algum envio mais rápido para o cep 29220010?,"Olá, na opção envio no anúncio, será dado prazos digitando seu CEP. Abraços28/09/2020"
83,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,"as cápsulas, é pra ser tomada duas vezes ao dia durante quanto tempo?",Prezado (a) bom dia. Cada pessoa reage ao seu tempo e modo pedindo o fabricante no mínimo 30 dias de uso contínuo. Disciplina no uso é essencial. Veja nossas qualificações. Abraços.24/09/2020
84,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,"Ok, obrigado. Acabei de efetuar a compra.",Por nada. Abraços.22/09/2020
85,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,immediate dispatch of the kit for SC?,"Hello, after bank clearing we dispatch within 24 working hours. Hugs. 22/09/2020"
86,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,"recebi o produto, mas fiquei com uma dúvida, serve para homens também?","Olá, sim, não existe essa distinção. Abraços.22/09/2020"
87,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,"Eu perguntei da planta, não do fabricante.","Olá, não temos essa informação. Abraços.16/09/2020"
88,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,De que região do Brasil é a planta utilizada na fabricação?,"Olá, fabricante é de Minas Gerais. Abraços.15/09/2020"
89,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,"Para linha hotel, você me aconselha qual ?","Essa linha é de otima qualidade, temos em tamanho menor se desejar, segue o link: https://produto.mercadolivre.com.br/MLB-1341646840-kit-500-mini-sabonete-15g-hotel-motel-pousada-pitanga-luxo-_JM05/09/2020"
90,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,Esse kit é com 200 sabonetes ??,"Bom dia, isso mesmo, 200 sabonetes de 20g.05/09/2020"
91,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,Vcs personalizam com o nome?,"Boa tarde! Trabalhamos somente com embalagens padronizadas, temos esse kit também na fragrância castanha do Pará com embalagem diferente. Seguimos à disposição03/09/2020"
92,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,"qual valor do shampoo, condicionador e creme?","Boa tarde, segue o link para o kit com shampoo, sabonete e condicionador. https://produto.mercadolivre.com.br/MLB-1221411283-50-kits-sabonete-20-grs-shampoo-e-condicionador-35-ml-hotel-_JM03/09/2020"
93,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,Good night. I just made the purchase of 400 soaps of 20 grams of pitanga. Would you send me a sample of the hotel shampoo and cream? If you can. Looking forward to delivery. Ieda Amaral. Thankful,"Olá, vou verificar se ainda tenho o kit dental, o shampoo te envio duas fragrâncias pra testar. Obrigado pela preferência!01/08/2020"
94,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,Qual tamanho do Sabonte?,Olá! Ele tem 5 cm de diâmetro. Seguimos à disposição17/07/2020
95,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,Eu preciso de um quite com 200 sabonetes más 200. Shanpo me vê qual valor,"Entendido, eu tenho na fragrância castanha do para, segue link: https://produto.mercadolivre.com.br/MLB-1281800549-kit-100-shampoo-condicionador-2-em-1-e-100-sabonete-hotel-_JM?quantity=105/07/2020"
96,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,Olá bom dia esse quite de 200 sabonetes é com shanpo,"Olá, são 200 sabonetes pitanga, mas temos os shampoos, me avise se precisar.05/07/2020"
97,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,Bom dia! Eu quero 20 sabonetes! O vencimento deles?,"Bom dia! A quantidade mínima que comercializamos são 100 unidades, validade para abril de 2022.29/06/2020"
98,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,"bom dia, o sabonete e cor branca? consegue um kit com 50?","Olá, é branco sim, tenho somente a partir de 100 unidades.26/05/2020"
99,Kit 6 Aroeira Soap And 6 Aroeira Ointment,"Bom dia. Acabei de efetuar a compra, o kit d 1 unidade. São 6 sabonetes e 6 pomadas. Correto?","Good morning, that's right! 27/09/2020"
100,Kit 6 Aroeira Soap And 6 Aroeira Ointment,lightens groins and armpits?,"Bom dia, ele age mais em micoses e inflamações de pele. Não serve para clareamento21/09/2020"
101,Kit 6 Aroeira Soap And 6 Aroeira Ointment,"good night, is there paraffin in this cream? could you speak the composition?","Good morning, the composition is: Sterile alcohol keto, Stearin water, Hippoparaben, polyparaben, propylene, mineral oil, essence, propolis, carbobene 9, mastic extract, 07/08/2020"
102,Kit 6 Aroeira Soap And 6 Aroeira Ointment,"Oi bom dia este sabonete é bom para espinhas e a pomada e é bom para que, também é bom para espinhas","Good morning, also because the aroeira active is healing and anti-inflammatory so it will also work well for ointment spines05 / 08/2020"
103,Kit 6 Aroeira Soap And 6 Aroeira Ointment,Ok obrigada,For nothing! 08/01/2020
104,Kit 6 Aroeira Soap And 6 Aroeira Ointment,Thank you soap I don't want to,Pois é semana q vem me chama que te falo se chegou so da pomada01/08/2020
105,Kit 6 Aroeira Soap And 6 Aroeira Ointment,Ok then you confirm me,In São Paulo we have kits with 6 soaps and 6 ointments01 / 08/2020
106,Kit 6 Aroeira Soap And 6 Aroeira Ointment,And,Here we do not have01 / 08/2020
107,Kit 6 Aroeira Soap And 6 Aroeira Ointment,Ok more than you can send,"The ones I have are already in full in this ad here, for example, we were unable to remove the soaps01 / 08/2020"
108,Kit 6 Aroeira Soap And 6 Aroeira Ointment,12,"So, the point is that only we do not have them because we sent them all to the SP distribution center, here our deposit has not yet been replaced. Next week we expect delivery 31/07/2020"
109,Kit 12 Barbatimao Soap Bar Tropical 100g,Boa noite saber me informar se remover as glândulas d e Tyson ?,"Boa noite, não tenho essa informação... ele age sobre micoses e cicatrizações, na descrição do anuncio tem as informaçoes do fabricante31/07/2020"
110,Kit 12 Barbatimao Soap Bar Tropical 100g,Qual a Validade por favor?,January 202224/07/2020
111,Kit 12 Barbatimao Soap Bar Tropical 100g,É um tratamento? Ou posso usar como um sabonete norma?,"it is a normal bar soap, glycerin can it has actions to fight skin problems and bacteria. More details in the description of the announcement! 06/15/2020"
112,Kit 12 Barbatimao Soap Bar Tropical 100g,Oi tudo bom? Existe contra indicação para grávida?,"Good afternoon, how are you? Look on the packaging has not indicated no. It would be more care with some allergy substance15 / 06/2020"
113,Kit 12 Barbatimao Soap Bar Tropical 100g,Good night know how to tell me if to remove the glands d e Tyson?,"Good night, I don't have this information ... it acts on mycoses and scarring, in the description of the ad it has the manufacturer's information31 / 07/2020"
114,Kit 12 Barbatimao Soap Bar Tropical 100g,What is the Validity please?,January 202224/07/2020
115,Kit 12 Barbatimao Soap Bar Tropical 100g,Is it a treatment? Or can I use it as a standard soap?,"it is a normal bar soap, glycerin can it has actions to fight skin problems and bacteria. More details in the description of the announcement! 06/15/2020"
116,Kit 12 Barbatimao Soap Bar Tropical 100g,"Hi, how are you? Is there a contraindication for pregnant women?","Good afternoon, how are you? Look on the packaging has not indicated no. It would be more care with some allergy substance15 / 06/2020"
117,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,Good Morning. How to create an ad with 50 units of shampoo and soap kit? I don't need the conditioner.,Bom dia! Infelizmente não temos esse kit sem o condicionador. Seguimos à disposição01/10/2020
118,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,Vcs fazem personalizados,"Good night, we do not customize, but we have other fragrances as an option. Att, 8/28 2020"
119,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,Customizable?,"Good night! We don't do customization, but we have another model too: https://produto.mercadolivre.com.br/MLB-1340935980-50-kits-sabonete-shampoo-e-condicionador-35-ml-hotel-airbnb-_JM24/08 / 2020"
120,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,And 2 in 1 shampoo?,"Good afternoon, the shampoo in this fragrance has this kit, which comes with soap and conditioner."
121,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,Good afternoon! Do you have the ad for only soap? And do you have 2 in 1 shampoo?,"Boa tarde! Temos sim, segue o link: https://produto.mercadolivre.com.br/MLB-1132258273-kit-100-sabonete-20-gr-hidratante-luxo-pitanga-hotel-pousada-_JM23/08/2020"
122,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,"Do you have a kit of 100 units with shampoo, conditioner and soap ??","Good afternoon, follow link: https://produto.mercadolivre.com.br/MLB-1215256896-100-kits-sabonete-shampoo-e-condicionador-35-ml-hotel-_JM?quantity=112/08/2020"
123,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,Hello! I would like to buy a spa kit: Body moisturizing scrub Bactericidal soap I look forward to ordering. Att. Cristiane Lima,"Good night, we only have the kit with regular soap, shampoo and conditioner. I will be available! 22/07/2020"
124,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,"Good morning .... Is there a possibility to make a mixed kit, with 25 units of pitanga and 25 of Brazil nuts? And I also saw the kit with toothpaste and brush in the photos, but I didn't find it in the free market !! What is the number of units in the kit and the price please!","Good Morning! We have another link already with the brushes and toothpaste, in this other ad we managed to split the fragrances of the kits, half pitanga and another half brown from Pará: https://produto.mercadolivre.com.br/MLB-1218239167-100- kits-soap-20-grs-shampoo-conditioner-toothpaste-brush-hotel-inn-airnb-_JM22 / 06/2020"
125,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,Good Morning. You guys customize,"Hello, I do not personalize, but we have in the brown fragrance of for too. Att, 06/20/20"
126,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,Good night. Can you print?,"Good night! We only work with standardized packaging, we have other models too. We are still available; 16/06/2020"
127,Sabonete Barra Rosa Negra Da Turquia Francis 90g,Qtas unidade?,"Olá, tudo bem? Esse anúncio trata-se uma unidade. Porém agradecemos por entrar em contato iremos mandar para o setor responsável, afim de arrumar o valor! =) Ficamos à disposição!08/08/2020"
