Name,Intro,Type,Price,Rating
SkinCeuticals Daily Moisture,"SkinCeuticals Daily Moisture works to hydrate and nourish skin while reducing the appearance of enlarged pores. Formulated with nutrient-rich algae extracts and a blend of botanical extracts, this daily moisturizer protects skin and leaves it feeling soft and smooth without any greasy residue. Made for oily, combination and normal skin types, this moisturizer helps to balance oil production while providing the optimal amount of moisture to refine pores.",Hydrating cream,63,5
Obagi Hydrate Luxe,"We know that our body and mind requires a good night's sleep to restore energy, but did you know that sleep is essential to our skin, too? Obagi Hydrate Luxe is designed to work in tandem with your natural nightly function of your skin to hydrate and replenish your complexion. Even if you aren't able to get all 8 hours of sleep, you'll awake feeling refreshed with skin that is more radiant, more supple and softer. Sustained use will continue the cycle of replenishment, further improving the overall appearance and condition of your skin. ",Hydrating cream,74,5
SkinMedica Dermal Repair Cream,"Because a truly all-encompassing hydration treatment takes some extra tender loving care, SkinMedica Dermal Repair Cream is one skin staple that offers anti-aging and moisturizing benefits in spades. Specially crafted to deliver optimal results during daily use, it instantly replenishes your skin with the necessary moisture it needs. All at once helping to repair sun-damaged skin and reduce age spots, this dense cream doesn't fall short on skin-loving antioxidants and vitamins. Deeply penetrating the surface of your skin with vitamins C and E, while retinol, hyaluronic acid and omega-3 fatty acids work in synergy to reverse the signs of time, this moisturizing treatment is just the trick your skin-care regimen's been lacking. Offering the same benefits as a handful of essentials yet delivering it in one, potent cream, it's bound to become a key player in your day-to-day rotation. ",Hydrating cream,129,5
SkinCeuticals' Emollience,"SkinCeuticals' Emollience regulates dry skin with a blend of exclusive lipids and marine extracts. Suitable for daily use, this lightweight formula absorbs quickly to deliver nourishing ingredients for a more youthful-looking appearance. Mango seed butter rehydrates your complexion, while lavender soothes redness.",Hydrating cream,63,5
PCA Skin Clear Skin,"PCA Skin Clear Skin promotes a bright complexion in the morning and at night with a mix of vitamins and calming extracts. Niacinamide maintains moisture retention which, in turn, can help control sebum production and minimize excess oil. Borage seed oil is rich with fatty acids to reduce redness associated with breakouts while cucumber extract purifies and soothes your skin's texture. ",Hydrating cream,49,5
"SkinMedica Replenish Hydrating Cream, 2 oz","A hydrating & soothing facial cream for sensitive skin Contains antioxidants including Vitamin E, Superoxide Dismutase & green tea leaf extract",Hydrating cream,66,4.6
"Tatcha The Water Cream: Oil-Free, Optimal Hydration Moisturizer For Pure Poreless Skin - 50 ml | 1.7 oz","OIL-FREE: This oil-free, water cream releases a burst of skin-improving Japanese nutrients, powerful botanicals and optimal hydration for pure, poreless skin. PROVIDES NUTRIENT-RICH, BALANCED HYDRATION: Unique water-burst cream breaks upon application to deeply deliver treatment benefits, hydrating without leaving skin sticky or greasy. CLARIFIES AND REFINES skin with pure, powerful Japanese botanicals: Japanese Wild Rose visibly tightens pores and smoothes skin texture. Japanese Leopard Lily helps control excess oil and clarify skin by encouraging natural skin turnover. DELIVERS ANTI-AGING JAPANESE SUPERFOODS: Hadasei-3, an anti-aging trinity of green tea, rice & algae, restores healthy-looking, youthful radiance. Imparts a subtle, shine-free glow with a touch of 23-karat gold. FORMULATED WITHOUT: Mineral oil, synthetic fragrances, sulfate detergents, parabens, urea, DEA, TEA or phthalates. Oil-free. Non-comedogenic. Non-irritating. Non-sensitizing. Dermatologist tested. Cruelty-free.",Hydrating cream,66,4.5
Dermalogica Skin Smoothing Cream,"Next-generation moisturizer with Active HydraMesh Technology infuses skin with 48 hours of continuous hydration and helps protect against environmental stress. This best-selling moisturizer features a state-of-the-art complex that works on a molecular level to help reduce Trans-Epidermal Water Loss (TEWL) and infuse skin with 48 hours of vital moisture. This advanced technology also helps shield skin’s natural microbiome from environmental stress. A dynamic Hyaluronic Acid Complex with Mallow, Cucumber and Arnica distributes hydration throughout the skin, helping to lock in moisture for lasting hydration. Also formulated with naturally-antioxidant Grape Seed Extract, Vitamin C and Vitamin E.",Hydrating cream,43,4.5
CHARLOTTE TILBURYMagic Cream Moisturizer,"An anti-aging moisturizer with hyaluronic acid to visibly plump skin and diminish the look of wrinkles, leaving skin glowing and prepped for flawless makeup. ",Hydrating cream,100,4.3
SHISEIDOBenefiance Wrinkle Smoothing Cream,An anti-aging moisturizer that hydrates and improves the appearance of wrinkles in just two weeks. ,Hydrating cream,70,4.7
The La Mer moisturizer,"The La Mer moisturizer that started it all. This luxuriously rich cream immerses skin in deep, soothing moisture, helping heal dryness. Skin feels soft-to-the-touch, supple and smooth. Lines and wrinkles are visibly softened. Unlock the power of a radiant transformation, day and night. Ideal for drier skin.",Hydrating cream,335,4.7
AUGUSTINUS BADER THE CREAM,"A lightweight yet hydrating cream ideal for oily skin or a daytime routine that features groundbreaking stem-cell technology to trigger your existing stem cells to repair and renew your skin. A pioneer in the field of stem cell research, Professor Augustinus Bader brings his thirty years of expertise and innovative technology to your vanity in the form of lightweight, renewing hydration. Featuring the Trigger Factor Complex—a combination of natural amino acids, high-grade vitamins, and synthesized molecules—the cream activates regeneration of the body’s own stem cells. By supporting the body's innate renewal processes, the formula visibly reduces signs of aging as well as damage caused by environmental stressors. The Cream is also packed with all-important lipids to help support skin's protective moisture barrier, nurturing a softer, more supple complexion that glows with health. Rich in antioxidants, amino acids, and vitamins A, B, C, and E. An airless bottle keeps the product free from spoilage by air or other environmental contaminants, ensuring the highest standards and maximum effectiveness of its active ingredients. Free from perfumes, silicones, and fillers.",Hydrating cream,265,5
Resveratrol Lift Night Infusion Cream from Caudalie,"Resveratrol Lift Night Infusion Cream from Caudalie works to repair surface damage created during the day by boosting our natural reparative cycle while you sleep. Crafted with hyaluronic acid, and resveratrol, this anti-aging night cream rebuilds, restores and resculpts skin to reveal a plumper and radiant complexion. Envelop yourself with the aromatic cocktail of chamomile, poppy, lavender, sage, fresh mint and orange soothe your skin and lull you to sleep. ",Hydrating cream,76,5
Lancome ABSOLUE REVITALIZING & BRIGHTENING SOFT CREAM,"A soft cream facial moisturizer with a unique, transforming texture that visibly reduces fine lines and wrinkles, while rejuvenating skin with firmness, radiance and 24-hour hydration. Made with an exclusive blend of Grand Rose Extracts, this indulgent cream visibly revitalizes skin with moisture, firmness and plumpness. Its unique texture creates a sensorial journey as it transforms ‒ from a thick hydrating cream, to a thin serum-like lotion, to a thick layer plumping skin with moisture. Wrinkles and fine lines appear diminished for younger-looking, smooth skin that is brighter, radiant, toned and more even. Skin surface cell renewal is improved and skin's moisture barrier is protected.",Hydrating cream,169.6,4.5
Bobbi Brown HYDRATING FACE CREAM,"This rich yet lightweight formula instantly hydrates and moisturizes, conditions and nourishes (and is ideal for layering under makeup).",Hydrating cream,60,4.7
PCA Skin Nutrient Toner,"PCA Skin Nutrient Toner (formerly Nutrient Toner - pHaze 5) features a revitalizing combination of vitamins, enzymes and amino acids to nourish the skin while preparing it for further treatment. It also contains alpha hydroxy acids, formulated to help refine pores and remove superficial dead skin cells, reducing your skin's risk of blemishes and other impurities.",skin toner,40,5
Hydraphel Skin Supplement Lotion,"This alcohol-free, nourishing formula gently respects your delicate, dry skin, which can easily become dehydrated. Panthenol reduces redness, while allantoin and vitamin B support natural renewal and repair. ",skin toner,68,4.8
FRESH Rose Floral Toner,"A soothing, alcohol-free toner and setting spray that delivers hydration with a heavenly scent. This cooling mist moisturizes for 24-hours for a healthy, dewy look. The extra-gentle formula for all skin types—even sensitive—is made with pure rosewater, revered since antiquity for its calming benefits. Use it to set makeup and refresh skin throughout the day. ",skin toner,40,4.1
Lancome Tonique Confort Re-Hydrating Comforting Toner with Acacia Honey,"Made with acacia honey and sweet almond oil for a healthy-looking complexion, this toner soothes and comforts skin. It thoroughly hydrates, allowing for triple usage as a toner, essence, and moisturizer for dry or sensitive skin. Skin is left feeling soft, fresh, clean, and comfortable.",skin toner,54,4.6
Lamer The Tonic,"This revitalizing toner with a blend of marine-rich ingredients works to refresh and tone the skin after cleansing. A simple step before treatments that balances the complexion. Skin is purified, revealing a healthy glow.",skin toner,95,4.4
True Botanicals Nutrient Toner,"A balancing toner to help combat breakouts and blemishes. Helps regulate oily skin while leaving it feeling ultra-nourished. Naturally scented with sandalwood, helichrysum, and cypress to invigorate the senses.",skin toner,48,4.4
SkinCeuticals' Equalizing Toner,"SkinCeuticals' Equalizing Toner gently evens combination to oily skin types for a clearer complexion. Harnessing the power of botanical extracts, this skin toner reduces redness caused by breakouts, while a fruit acid blend helps exfoliate dead skin cells. Ideal for oily and combination skin types, this formula is free of oil and fragrance. ",skin toner,34,5
Dermalogica Multi-Active Toner,"Spritz on critical hydration with this refreshing blend of skin-repairing aloe, moisture-binding Sodium PCA plus soothing lavender, balm mint and arnica. Use it after cleansing and any time throughout the day.",skin toner,41,5
SK-II Facial Treatment Clear Lotion,Our bestselling face toner helps remove stubborn impurities to reveal your skin’s true radiance and prepare it for the rest of your regimen. Formulated with PITERA™ and Alpha Hydroxy Acids (AHA) to improve the appearance of dullness and uneven skin tone.,skin toner,76,4.5
Neroli Age Corrective Hydrating Mist by Eminence Organic Skin ,"Neroli Age Corrective Hydrating Mist by Eminence Organic Skin Care deeply hydrates the skin using an energizing blend of coconut water and fragrant neroli oil. Infused with green apple stem cell technology, this face toner leaves skin looking tighter, softer and smoother. Nut-free. ",skin toner,38,5
Caudalie's Beauty Elixir,"Caudalie's Beauty Elixir is an ideal solution when you need a quick pick-me-up or a boost of hydration. Enriched with all-natural ingredients, this skin toner evens your complexion, smooths fine lines and visible pores and combats dehydrated skin.",skin toner,49,4
Neroli Age Corrective Hydrating Mist by Eminence Organic Skin ,"Neroli Age Corrective Hydrating Mist by Eminence Organic Skin Care deeply hydrates the skin using an energizing blend of coconut water and fragrant neroli oil. Infused with green apple stem cell technology, this face toner leaves skin looking tighter, softer and smoother. Nut-free. ",skin toner,38,5
Soft Clean Silky Hydrating Lotion,"Gentle toning lotion cushions your skin, leaving it feeling soft, supple, luxuriously hydrated. Primes skin to achieve maximum results from the skincare that follows. Includes soothing extracts of Passion Flower and Edelweiss.",skin toner,35,4.8
Indie Lee's CoQ-10 Toner,"Indie Lee's CoQ-10 Toner removes impurities and residue left over from cleansing while balancing levels. Formulated with a soothing blend of aloe, chamomile and cucumber extracts, this alcohol-free formula refreshes skin, as hyaluronic acid plumps and brightens your complexion with lightweight moisture. Coenzyme Q10 diminishes the appearance of fine lines while neutralizing free radicals.",skin toner,34,5
Arcona Cranberry Toner,"Arcona Cranberry Toner infuses skin with antioxidants that leave it smooth and vibrant. A cleanser, toner and moisturizer in one, this skin toner uses phyto-nutrients, vitamins and essential fatty acids to clarify and protect skin against free radicals and other harsh factors. ",skin toner,39,5
