,name,price,Brand,Line,Unit weight,Model,description,store_name,new_or_not,sold_number,Units per package,review_rating
10,Dove White Bar Soap 90 Gr 8 Units,17.9,Dove,,90 g,Original,"description
Dove White Bar Soap 90 Gr 8 Units
Dove is not an ordinary bar soap. It is a beauty soap made with Syndet technology that goes beyond cleansing, nourishing the skin as it removes the dirt from everyday life. The secret to beautiful skin is daily hydration, and no ordinary soap moisturizes better than Dove.
- Dove Original Soap combines a gentle cleansing formula with 1/4 moisturizing cream, leaving your skin soft, well cared for and looking healthy.
- It does not remove the natural hydration of your skin like the common bar soaps: its composition with 1/4 moisturizing cream helps to replenish the skin's nutrients, leaving it better nourished and hydrated.
- For a better bathing experience, we suggest the following method of use: first, wet your hands and pass the Dove Original Soap between them until it forms a foam. Then massage the foam over your body and, finally, rinse with warm water.
- It will not leave your skin dry and rough like ordinary soaps, and you can use it daily on your face, hands and body.
- Dermatologically recommended. You may be a fan of Dove Original Soap, but with so many options, why not try them all? After all, we have a soap for every moment.

----------------------------------------------
HOW TO USE:
----------------------------------------------
Wet the body, lather and massage normally. Rinse with plenty of water.

----------------------------------------------
COMPOSITION:
----------------------------------------------
Sodium Lauroyl Isethionate, Stearic Acid, Sodium Stearate, Sodium Oleate, Sodium Palmitate, Sodium Linate, Sodium Laurate, Sodium Myristate, Aqua, Sodium Isethionate, Lauric Acid, Cocamidopropyl Betaine, Parfum, Sodium Chloride, Titanium Dioxide, Zinc Oxide, Tinc Etidronic Acid, Alpha-Isomethyl Ionone, Butylphenyl Methylpropional, Citronellol, Coumarin, Hexyl Cinnamal, Limonene, Linalool.

----------------------------------------------
IMPORTANT NOTICES:
----------------------------------------------
Keep out of reach of children, avoid contact with the eyes, in case of contact wash the eyes with plenty of water, this product can cause irritation if not used correctly, if it generates adverse reactions, discontinue use. If it persists, see a doctor.",Free market,New,2102.0,8,5.0
11,Dove White Bar Soap 90 Gr 8 Units,17.9,Dove,,90 g,,"description
Dove White Bar Soap 90 Gr 8 Units
Dove is not an ordinary bar soap. It is a beauty soap made with Syndet technology that goes beyond cleansing, nourishing the skin as it removes the dirt from everyday life. The secret to beautiful skin is daily hydration, and no ordinary soap moisturizes better than Dove.
- Dove Original Soap combines a gentle cleansing formula with 1/4 moisturizing cream, leaving your skin soft, well cared for and looking healthy.
- It does not remove the natural hydration of your skin like the common bar soaps: its composition with 1/4 moisturizing cream helps to replenish the skin's nutrients, leaving it better nourished and hydrated.
- For a better bathing experience, we suggest the following method of use: first, wet your hands and pass the Dove Original Soap between them until it forms a foam. Then massage the foam over your body and, finally, rinse with warm water.
- It will not leave your skin dry and rough like ordinary soaps, and you can use it daily on your face, hands and body.
- Dermatologically recommended. You may be a fan of Dove Original Soap, but with so many options, why not try them all? After all, we have a soap for every moment.

----------------------------------------------
HOW TO USE:
----------------------------------------------
Wet the body, lather and massage normally. Rinse with plenty of water.

----------------------------------------------
COMPOSITION:
----------------------------------------------
Sodium Lauroyl Isethionate, Stearic Acid, Sodium Stearate, Sodium Oleate, Sodium Palmitate, Sodium Linate, Sodium Laurate, Sodium Myristate, Aqua, Sodium Isethionate, Lauric Acid, Cocamidopropyl Betaine, Parfum, Sodium Chloride, Titanium Dioxide, Zinc Oxide, Tinc Etidronic Acid, Alpha-Isomethyl Ionone, Butylphenyl Methylpropional, Citronellol, Coumarin, Hexyl Cinnamal, Limonene, Linalool.

----------------------------------------------
IMPORTANT NOTICES:
----------------------------------------------
Keep out of reach of children, avoid contact with the eyes, in case of contact wash the eyes with plenty of water, this product can cause irritation if not used correctly, if it generates adverse reactions, discontinue use. If it persists, see a doctor.",Mercado Livre,New,2102.0,8,5.0
12,Aroeira Bar Soap 12 Units 100 Grams Each,28.8,,Soap,,Barra,"description
Kit 12 Soap Bar Aroeira 100g

Aroeira soap is widely used among dermatologists, generally doctors recommend its use daily and not only in cases of dermatological problems, our skin suffers aggression daily and needs to be well treated to resist time without suffering major damage in the future.

Collection Box: 12 Units Each Bar: 100g",Platinum Leader,New,783.0,12,4.6
13,Kit 500 Soaps 10gr And 500 Shampoo 2 In 1 Hotel Motel,250.0,Nature's,Hospitality,,,"description
Kit with Mini Soaps and Conditioner Shampoo 2 in 1 - Naturys
500 soaps 10 grams
500 shampoo and conditioner 2 in 1 - 10 ml

Floral Fragrance

Flowpack packaging
Ideal product for Hotels, Inns, Motels, Rent on Airbnb",MercadoLíder Platinum,Novo,392.0,500,4.8
14,3 Pomadas Barbatimão Hpv 60g+2 Sabonetes+300 Capsulas,129.9,,,,,"Descrição
KIT COMPOSTO POR 300 CÁPSULAS DE BABATIMÃO DE 500mg (03 POTES DE 100 CADA) + 180G POMADAS DE BARBATIMÃO (03 POTES DE 60g CADA) + 200g SABONETE DE BARBATIMÃO (02 BARRAS DE 100g CADA)

ATENÇÃO A POMADA DE BARBATIMÃO DETS NATURE, SÓ É ORIGINAL A PRODUZIDA EM MINAS GERAIS E VENDIDA PELO VENDEDOR DE MINAS GERAIS. AS POMADAS VENDIDAS PELO VENDEDOR DE OUTROS ESTADOS COMO AMAZONAS E SÃO PAULO SÃO FALSIFICAÇÕES. NÃO TEMOS FILIAIS EM QUALQUER PARTE DO PAÍS. SOMOS MERCADO LÍDER!

O Barbatimão é uma planta também conhecida como Barbatimão-verdadeiro, barba-de-timan, casca-da-mocidade ou ubatima, e é muito usada para ajudar a tratar feridas, hemorragias, queimaduras, dores de garganta ou inchaços e hematomas na pele.

INDICAÇÃO: DOENÇAS VENEREAS, INFLAMAÇÕES UTERINAS, CORRIMENTOS, ODORES, COCEIRAS.

COMPOSIÇÃO: ÓLEO PURO DE BARBATIMÃO, ÓLEO DE COPAÍBA, PANACÉIA, EMOLIENTES, ESSÊNCIA.

POMADA DE BABATIMÃO: APOS Á HIGIENIZAÇÃO COM O SABONETE DE BABATIMÃO, COM A PELE LIMPA PASSAR UMA PEQUENA CAMADA NA REGIÃO ÍNTIMA.


SABONETE DE BARBATIMÃO 100g
PROMOÇÃO!!!

Sabonete Barbatimão
Medida: 100 g
Ingrediente Ativo: Extrato de Barbatimão
Indicação: higiene corporal e facial
Modo de usar: aplicar em todo o corpo, ensaboando e enxaguar

100 CÁPSULAS DE BABATIMÃO 500mg
MODO DE USAR:
ADULTO: 02 CÁPSULAS 02 VEZES

QUEIMA DE ESTOQUE!!!
NUTRINOVA!!! UMA NOVA MANEIRA DE CUIDAR DA SUA SAÚDE!!!
A NutriNovaBH não se responsabiliza pelo mau uso dos produtos. Antes de usar, sempre atente-se as dosagens recomendadas de cada produto, realize um teste em uma pequena área e consulte sempre um médico.",Location,Novo,239.0,,4.6
15,Kit 200 Mini Soap 20 Gr Luxury Pitanga Hotel Pousada,150.0,,,,,"Descrição
Excelente qualidade e delicioso aroma!

Fragrância: Pitanga

Sabonete: Massa branca;
Peso: 20 gramas;
Embalagem: Redonda Plissada

Rico em emolientes que combina a ação nutritiva e regeneradora, trazendo máxima hidratação à pele.",Platinum Leader,New,191.0,,5.0
16,Sabonete Barra Gardênia Francis 85g,1.5,,,,,"description
The store did not include a product description",Free market,Novo,343.0,,
17,Kit 6 Aroeira Soap And 6 Aroeira Ointment,35.0,Tropical,Aroeira,100 g,,"description
CONTAINS

6 AROEIRA OINTMENTS
6 AROEIRA SOAP

Aroeira is a plant of Brazilian flora very rich in tannin, which acts as an astringent on the skin and mucous membranes, closing the pores and fighting spots, pimples and blackheads and contracting the skin superficially. The Aroeira Tropical Soap is indicated to help fight inflammation and wounds that are difficult to heal, including psoriasis. It has regenerating action on tissues and is useful in bedsores, burns and skin problems. (Glycerin soap)

Benefits:
Combats pimples on the face
Anti-inflammatory and healing action
Helps treat infections of the genitals
Skin oil control
Deep skin cleansing
Regeneration
Combating Dandruff

The Tropical mastic soap is suitable for all skin types.



Anvisa Process: 25351.711100 / 2015-03",Platinum Leader,New,40.0,12,5.0
18,Kit 12 Barbatimao Soap Bar Tropical 100g,27.8,Tropical,,100 g,,"description
The Barbatimão Tropical soap has an astringent, antiseptic and anti-inflammatory action. Barbatimão is a native herb extracted from the Brazilian savannahs, rich in tannins that fight bacteria and microorganisms and also help in wound healing and regeneration. It is a powerful natural anti-inflammatory. Very well known among women for the numerous benefits of intimate hygiene. It fights bad odor, reduces discharge and contracts the skin.

Benefits of Barbatimão:
Anti-inflammatory action
Fights pimples and oiliness
Protects skin against infections
Aid in healing
Fights bad odor
Skin contraction
Keeps skin clean and healthy

Recommendation:
Tropical soap can be used by men and women on all skin types.

Aut.Func / ms-2.05298.0
Re-anvs-343/05",Platinum Leader,Novo,31.0,12,
19,Kit 12 Barbatimao Soap Bar Tropical 100g,27.8,Tropical,,100 g,,"description
The Barbatimão Tropical soap has an astringent, antiseptic and anti-inflammatory action. Barbatimão is a native herb extracted from the Brazilian savannahs, rich in tannins that fight bacteria and microorganisms and also help in wound healing and regeneration. It is a powerful natural anti-inflammatory. Very well known among women for the numerous benefits of intimate hygiene. It fights bad odor, reduces discharge and contracts the skin.

Benefits of Barbatimão:
Anti-inflammatory action
Fights pimples and oiliness
Protects skin against infections
Aid in healing
Fights bad odor
Skin contraction
Keeps skin clean and healthy

Recommendation:
Tropical soap can be used by men and women on all skin types.

Aut.Func / ms-2.05298.0
Re-anvs-343/05",Platinum Leader,New,31.0,12,
20,"12x Aroma Soap, Aloe Vera and Barbatimão - 90 Grams",27.99,Lian,,90 g,barra,"description
12 units of Aroeira Soap with aloe and barbatimão - 90 grams each

Aroeira benefits: It also helps in improving skin regeneration. Aroeira has astringent, balsamic, diuretic, anti-inflammatory, antimicrobial, tonic and healing properties.



Benefits of Aloe vera: Aloe vera works as an excellent base for an exfoliator because in addition to moisturizing the skin, it provides important oxygen to keep the deepest cells strong.



Benefits of Barbatimão: Keeps your skin always clean and healthy, prevents skin irritations, has a powerful oxidizing and moisturizing action, prevents acne, itching and eczema.

Soap 90 g.
Without dye.",Market leader,New,125.0,12,4.7
21,50 Soap Kits 20 Grs Shampoo And Conditioner 35 Ml Hotel,185.0,Nature's,Hospitality,20 g,,"description
50 Kits for Hotel
Line: Fruits of the Amazon
Fragrance: Pitanga

Shampoo - 35 ml bottle
Conditioner - 35 ml bottle
Round Pleated Soap - 20 grams

Individually wrapped - Cellophane packaging

Ideal product for Hotels, Inns, Motels, Rent on Airbnb",Platinum Leader,New,182.0,150,5.0
22,Sabonete Barra Rosa Negra Da Turquia Francis 90g,1.79,Francis,,90 g,,"description
The store did not include a product description",Free market,Novo,371.0,1,
23,Kit 1000 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,320.0,Naturys,Hospitality,13 g,13 Grams,"description
Soap 13 gr Hotel Motel Pousada Fragrância Erva Doce

2 Boxes with 500 units

Flowpack packaging
Ideal product for Hotels, Inns, Motels, Rent on Airbnb",Platinum Leader,New,244.0,100,5.0
24,Karite And Vanilla Dove Soap Bar 90 Gr C / 6,13.9,Dove,Delicious Care Karite,90 g,Delicious,"description
Dove is not an ordinary bar soap. It is a beauty soap made with Syndet technology that goes beyond cleansing, nourishing the skin as it removes the dirt from everyday life. Dove Delicious Care Shea and Vanilla Soap makes a creamy foam and leaves your skin feeling refreshed. We believe that bathing can be an opportunity for you to take time just for you. That's why we developed the Dove Delicious Care Shea and Vanilla Soap, a soap that brings you our mild cleaning agents and 1/4 moisturizing cream, in addition to a delicate and relaxing scent.

----------------------------------------------
OTHER INFORMATION:
----------------------------------------------
- More pleasant and smelling bath;
- Combination of the power of Shea butter with ¼ of moisturizing cream;
- Vanilla aroma;
- Shea butter is a great emollient and moisturizer and due to its natural composition;
- Helps to combat dryness and aging of the skin;
- Dermatologically recommended;
- Ideal for all skin types.

----------------------------------------------
HOW TO USE:
----------------------------------------------
First, wet your hands and pass the Dove Delicious Care Shea and Vanilla Soap between them until they form a foam. Then massage the foam over your body and, finally, rinse with warm water.

----------------------------------------------
COMPOSITION:
----------------------------------------------
sodium lauroyl, isethionate, stearic acid, sodium stearate, sodium oleate, sodium palmitate, sodium linoleate, sodium myristate, Water, sodium isethionate, lauric acid, cocamidopropyl-betaine, perfume, Butyrospermum parkii butter extract , sodium chloride, titanium dioxide, zinc oxide, propylene glycol, tetrasodium EDTA, etidronic acid, ci 15985, ci 19140, benzi salicylate, butylphenyl methylpropional, coumarin, cinnamal hexyl, limonene, linalool.",Mercado Livre,New,249.0,6,
25,03 Sulfur Soaps - 90 Gr Each,14.99,Lian,Natural,90 g,,"description
Sulfur Soap

It has anti seborrhea and antiseptic properties.
Eliminates toxins from the body and soothes allergies and red spots, helping to even out skin pigmentation.

Each unit contains 90g.

Kit with 3 units.",Market leader,New,69.0,3,
26,Micellar Anti Stress Dove Bar Soap 90 Gr 6 Unit,13.9,,,90 g,,"description
The store did not include a product description",Free market,New,327.0,6,
27,Albany Multiation Bar Soap 85g,1.3,,,85 g,,"description
The store did not include a product description",Mercado Livre,New,344.0,1,
28,12 X Aloe Vera Soap (Prevents Aging),27.99,,,90 g,,"Descrição
12 unidades de sabonete de babosa - 90 gramas cada

Vencimento: Outubro/2021

A babosa é uma rica fonte de 20 tipos de minerais essenciais para o organismo. Ela também contém 12 tipos de vitaminas, 18 tipos de aminoácidos, água, enzimas, fitonutrientes e outros componentes que ajudam o corpo a funcionar melhor. Especificamente no caso do sabonete de babosa, veja quais benefícios ele vai oferecer à sua pele.

1. Efeito cicatrizante
2. Efeito antioxidante
3. Prevenção do envelhecimento precoce
4. Ótimo poder hidratante
5. Auxilia no tratamento da acne
6. Reduz a celulite
7. Controla a oleosidade da pele",Market leader,New,42.0,,
29,Sabonete Natural Com Extrato De Camomila 80gr - Suavetex,7.9,Suavetex,,,Natural Soap,"description
*** PLEASE NOTE: Want FREE SHIPPING ??!?!?!? ***

Add Products from our store in the cart to have this benefit on purchases over 120.00

>

 

Content Soap With Organic Chamomile Extract 80gr - Suavetex

 The Vegetable Soap Suavetex with Chamomile Extract from Organic Natural is enriched with chamomile extract, an excellent natural soothing to the skin, which provides effective cleaning without harming and drying the skin. The base mass of this powerful soap is 100% vegetable, offering a naturally healthy protection for the skin. Contains organic ingredients in its formulation. It's indicated to all skin types.

                                           
Ingredients:

Vegetable Base Pasta (Sodium Palmate, Sodium Palm Kernelate, Sodium Stearate, Sodium Chloride, Glycerin, Sodium Hydroxide, Etidronic Acid, Aqua), Parfum. Organic ingredient: Chamomilla Recutita (Matricaria) Flower Extract.


How to use:

Apply to wet skin using circular motions. Then rinse. Can be used daily.

 

Property:

Chamomile extract: soothing, anti-inflammatory and antiseptic.
 

- Does not dry out the skin;

- It has 100% vegetable based pasta;

- No alcohol;

- Without sulfates;

- Without parabens;

- Without chemical preservatives;

- No artificial colors;

- No animal testing



______________________________________________________________

We are Distributors of several brands of Excellence and Quality!

We have 100% Positive Feedback, your purchase is Secure!

WE DELIVER THROUGHOUT BRAZIL WITH IMMEDIATE SHIPPING BY MAIL!

PRODUCTS WITH INVOICE AND PROCEDURE !!!",MercadoLíder Platinum,Novo,110.0,,
30,Huggies Children's Soap Bar 75g,2.56,Huggies,,,,"description
Huggies® Soap was specially developed to gently clean baby's skin. Its exclusive formula with Huggies® technology, dermatologically tested, has smooth ingredients, without the presence of dyes. It does not irritate the skin, providing a safe cleaning. Its anatomical shape fits perfectly in the hands and does not slip, making bathing time safer and more practical.

----------------------------------------------
Frequently Asked Questions
----------------------------------------------

- Do you have stock?
Yes, we have stock of all our advertised products.

- Do you deliver across the country?
We ship throughout the country, through the Shipping Market.

- How do I track the shipment?
Upon entering your Mercado Livre account, in the purchase details, a tracking code will be available where you can track which carrier and delivery status.

- Can I remove the product?
We don't have a physical store, just online.

- How do I pay?
You can do it through the means that Mercado Pago offers. It is fast, safe and has no additional cost, in addition to offering the main card brands as an option.


Any other questions, we are available!",Free market,New,1360.0,1,4.0
31,Albany Intensive Hydration Bar Soap 85g,1.29,ALBANY,,85 g,,"Descrição
A loja não incluiu uma descrição do produto",Free market,New,345.0,1,3.5
32,Versailles Francis Bar Soap Bar 90g,1.9,Francis,,90 g,,"description
The store did not include a product description",Mercado Livre,New,358.0,1,
33,Kit 24 Sabonete De Aroeira Em Barra Tropical 100g Atacado,51.8,Tropical,Sabonete Barra aroeira,,,"description
Aroeira Tropical Soap

Aroeira Soap - 100g
Active Ingredient: Aroma Extract
Indication: Body and facial hygiene.

COLLECTING BOX: 24 Units of 100g",Platinum Leader,New,35.0,24,
34,Aroeira Soap Bar Kit W / 12 Units Promotion,23.9,Aroeira,,100 g,,"description
IMMEDIATE DISPATCH
You will receive at your home:
12 [DOSE] AROEIRA SOAP UNITS GLICERINATED IN BARS.

COLORS: Usually we have available in dark and light colors; if you have a preference for a color, use the ASK THE SELLER field to find out if we have the color you want available, otherwise it will be sent randomly!

WEIGHT OF EACH SOAP: 100 GRAMS;
TOTAL WEIGHT: 1 kg and 400 GRAMS

COLLECTING BOX 12 UNITS",Market leader,Novo,125.0,12,5.0
35,1000 Soap 10 Gr Hotel Motel Pousada Fragrância Floral,280.0,Naturys,Hospitality,,Soap Floral,"description
Soap 10 gr Hotel Motel Pousada Fragrância Floral
Box with 1000 units

Weight Unit 10 grams
Flowpack packaging
Ideal product for Hotels, Inns, Motels, Rent on Airbnb",Location,New,100.0,,
36,12 X Sabonete De Argila Preta - 90 Gramas,27.99,Lian,Natural,90 g,,"description
12 x Black Clay Soap - 90 grams each

VALIDITY: OCTOBER 2021

Benefits of using Black Clay Soap
- Has anti-inflammatory action.
- It has rejuvenating properties.
- Helps lighten skin spots.
- Reduces acne and helps to activate the metabolism of superficial fats.
- Helps relieve stress.
- Assists in the treatment of stretch marks.

Soap 90 g.
Without dye.",Market leader,New,100.0,12,5.0
37,Sabonete Barra Controle De Ododr Albany 85g,1.49,,,85 g,,"description
The store did not include a product description",Free market,New,359.0,1,
38,Kit 20cx Sabonete Barra Tododia - Original,289.9,,,90 g,,"Descrição
Somos a Natura Express com mais de 15 anos de experiência como consultor Natura. Temos um vasto número de produtos a pronta entregue o que nos permite oferecê-los a um preço diferenciado no mercado.

Produtos originais, novos e lacrados!
Dúvidas? Faça-nos uma pergunta. A Natura Express está a sua disposição.

Sua compra está protegida pelo Mercado Pago
Entrega garantida pelo Mercado Envios
Total segurança e tranquilidade para sua compra. Melhor atendimento sempre!

Sinta seu corpo em um banho revigorante com o Sabonete em Barra Tododia. Uma combinação de ingredientes naturais em uma fórmula gentil que limpa delicadamente mantendo a hidratação natural da pele.

Benefícios:
• Limpeza gentil: não agride e não resseca, mantendo a hidratação natural da pele;
• 98% ingredientes naturais: maior afinidade com a sua pele;
• Espuma cremosa e envolvente: banho revigorante e deliciosa sensação de maciez;
• Explosão de fragrância: transforma o banho em um momento especial no seu dia.
Conteúdo:
20 caixas com 5 unidades, 90g cada.

Link para Kit c/04 caixas:
https://produto.mercadolivre.com.br/MLB-1502914521-kit-4-cx-sabonete-barra-tododia-imperdivel-_JM?quantity=1


Link para Kit c/06 caixas;
https://produto.mercadolivre.com.br/MLB-1502901260-kit-6-cx-sabonete-barra-tododia-_JM?quantity=1

Link para Kit c/08 caixas:
https://produto.mercadolivre.com.br/MLB-923579535-kit-9-cx-de-sabonete-tododia-natura-_JM

Link para Kit c/09 caixas:
https://produto.mercadolivre.com.br/MLB-923579535-kit-9-cx-de-sabonete-tododia-natura-_JM?quantity=1

Link para Kit c/10 caixas:
https://produto.mercadolivre.com.br/MLB-1502903051-kit-10-cx-de-sabonete-tododia-natura-_JM?quantity=1

Link para Kit c/15 caixas:
https://produto.mercadolivre.com.br/MLB-1505417188-kit-15-cx-sabonete-barra-tododia-melhor-preco-_JM?quantity=1

Visite nossa Loja Oficial:
Link de ofertas: https://eshops.mercadolivre.com.br/NATURA%20EXPRESS.RJ",Location,New,24.0,,5.0
39,Natura Mamae E Bebe Soap Box w / 05 Units 100g Each,27.99,Natura,Mamae e Bebe,100 g,Mother and baby,"description
VALIDITY UNTIL 11/03/2021

DESCRIPTION

The bath, that little big daily moment of caring for the baby, helps to further strengthen love. The vegan formula of bar soap contains only the essentials to gently and gently clean baby's sensitive skin, so it can be used right from the first bath. It does not dry out the skin and does not irritate the eyes.

Benefits:

• Vegan formulas, even safer, can be used from the first day of life;

• Only with essentials for baby's sensitive skin;

• Fewer ingredients in the formula, 99% natural ingredients;

• Smooth and safe scent;

• Do not sting your eyes;

• 100% green plastic packaging;

• Dermatologically and ophthalmologically tested;

• Contains no sulfates, mineral oil, parabens, phthalates, silicones, dyes and alcohol.

Content: 5 units, 100g each.",Location,New,354.0,5,4.8
40,Kit 500 Mini Soap 15g Hotel Motel Pousada Castanha Luxo,190.0,Naturys,Hospitality,,,"description
Soap 15 gr Hotel Motel Pousada
Line: Fruits of the Amazon
Brazil Nut Fragrance

Box with 500 units

Flowpack packaging
Ideal product for Hotels, Inns, Motels, Rent on Airbnb",MercadoLíder Platinum,New,164.0,500,4.8
41,Protex Facial Soap Anti Blackheads And Pimples 85g,7.9,Protex,,85 g,,"description
Protex Anti Blackheads and Pimples facial soap deeply cleanses the skin while protecting and combating imperfections.

Provides protection against bacteria that can cause blackheads and pimples * * Bacteria tested in the laboratory: P. acnes


Its exclusive ReduCNE ™ technology reduces oiliness

Suitable for normal and oily skin

Dermatologically tested",Free market,New,218.0,1,5.0
42,Kit 3 Suavetex Natural Soap Particles Active Charcoal 80gr,27.9,Suavetex,Premium,,,"description
*** PLEASE NOTE: Want FREE SHIPPING ??!?!?!? ***

Add products from our store in the cart to have this benefit on purchases over 120.00



Kit 3 Suavetex Natural Soap with Particles of Active Charcoal 80gr

Suavetex Natural Soap with Activated Carbon 80g. Activated charcoal is capable of absorbing large amounts of toxins from the skin. This over-absorption and its antibacterial properties are the main reasons why activated carbon is the best ingredient to fight acne, rashes and pimples. Reduces pigmentation spots, tones the skin, leaving it looking much younger and healthier. It also has anti-aging action. Helps close pores, soften skin and restore its elasticity.

Contains organic Chamomile extract: extract with diverse properties such as emollient and soothing activity. It works by cleaning, toning, softening and restoring the balance of the skin.

Composition:

Vegetable based pasta (Sodium palmate, Sodium Palm kernelate, Sodium Stearate, Sodium Chloride, Glycerin, Sodium Hydroxide, Etidronic Acid, Aqua), Parfum, charcoal powde.


How to use:

Apply to wet skin using circular motions. Then rinse. Can be used daily.



Property:

- Does not dry out the skin;

- It has 100% vegetable based pasta;

- No alcohol;

- Without sulfates;

- Without parabens;

- Without chemical preservatives;

- No artificial colors;

- No animal testing



______________________________________________________________

We are Distributors of several brands of Excellence and Quality!

We have 100% Positive Feedback, your purchase is Secure!

WE DELIVER THROUGHOUT BRAZIL WITH IMMEDIATE SHIPPING BY MAIL!

PRODUCTS WITH INVOICE AND PROCEDURE !!!

NatuBR",Platinum Leader,New,66.0,3,
43,Francis Lily Bar Soap 85g,1.5,Francis,Lírio,85 g,,"Descrição
A loja não incluiu uma descrição do produto",Mercado Livre,New,259.0,1,5.0
44,"Boticollection Scented Soaps, 5un X 80g",30.9,The boticario,Boticollection,80 g,,"description
Boticollection Perfumed Soaps bring cleansing and perfuming to the skin. There are five assorted soaps from the Cecita Blossom, Thaty, Acqua Fresca, Anni and New Acqua Fresca lines, stored in a beautiful box. Boticollection soaps contain natural extracts and produce a creamy foam that cleanses the skin without drying out. Perfect to make your routine even lighter and full of sweetness. It is also an excellent gift option! Contains: 5 units of 80g each.",The boticario,New,719.0,5,5.0
